Construct,Sentence
Acquired Capability - Ideation/Simulation,I think about putting a rope around my neck
Acquired Capability - Ideation/Simulation,I want to put a gun in my mouth and pull the trigger
Acquired Capability - Ideation/Simulation,I plan on taking a bunch of pills and just fall asleep forever
Acquired Capability - Experiences of Endurance,I've been through so much pain in my life that I feel like nothing can hurt me anymore
Acquired Capability - Experiences of Endurance,Overcoming those challenges made me realize I can endure a lot more than I thought.
Acquired Capability - Experiences of Endurance,I've become numb to the pain and it takes a lot to bother me now.
Acquired Capability - Desensitization to Harm,I've seen and experienced so much violence that it doesn't faze me anymore.
Acquired Capability - Desensitization to Harm,"I can handle situations that used to terrify me, it's like I'm immune to the fear."
Acquired Capability - Desensitization to Harm,I've become desensitized to the pain
Acquired Capability - High Tolerance for Physical Pain,I can tolerate physical pain much better now; it's almost like I've trained myself.
Acquired Capability - High Tolerance for Physical Pain,I've intentionally exposed myself to pain to build up my resistance.
Acquired Capability - High Tolerance for Physical Pain,I've been through so many injuries that pain doesn't bother me as much.
Acquired Capability - Engagement in Risky Behaviors,I've taken risks that others wouldn't even consider; it's like I'm not afraid of consequences anymore.
Acquired Capability - Engagement in Risky Behaviors,Engaging in extreme activities has made me less afraid of potential harm.
Acquired Capability - Engagement in Risky Behaviors,"I've deliberately put myself in dangerous situations, and it doesn't scare me like it used to."
Acquired Capability - Familiarity with Self-Harm Methods,I've researched and learned about different ways to harm myself
Acquired Capability - Familiarity with Self-Harm Methods,Knowing about self-harm methods doesn't bother me
Acquired Capability - Familiarity with Self-Harm Methods,I'm not disturbed by the idea of self-harm anymore
Anger,I don't owe anything to anyone.
Anger,Killing myself would be a way to get back at people.
Anhedonia,Nothing gives me pleasure
Anhedonia,I can't remember being happy
Anhedonia,I don't like doing anything
Anhedonia,I don't feel much of anything
Availability of means,I have access to a way to kill myself
Availability of means,I've explored information about suicide
Aversive Self-awareness,I'm worthless.
Aversive Self-awareness,I am an awful person.
Aversive Self-awareness,I am incompetent
Aversive Self-awareness,I am unlikeable
Aversive Self-awareness,I think about how I have messed up.
Boredom,Life is dull
Boredom,I just don't care
Boredom,I just feel bored by everything all the time
Circumstances Less than Expectations,Things are awful for me now.
Circumstances Less than Expectations,I have never been this stressed.
Circumstances Less than Expectations,People expect too much from me.
Circumstances Less than Expectations,I am disappointed in myself.
Circumstances Less than Expectations,My love life is falling apart.
Cognitive deconstruction,I try not to think about what has happened.
Cognitive deconstruction,I focus on what is right in front of me
Cognitive deconstruction,I can only focus on one day at a time
Embarassment,I am embarrassed by my appearance
Embarassment,I am ashamed of the way I behave
Embarassment,I am such a loser
Embarassment,There are things about me people would disapprove of
Escape,I can't deal with this anymore
Escape,It's all too much to handle anymore
Escape,I want to run away from life
Internal Attributions,It is all my fault.
Internal Attributions,I have no one else to blame but myself.
Loss/Failure,Everything that I cared about is gone
Loss/Failure,I messed everything up
Loss/Failure,I fail at everything I try to do
Medical Conditions,There is no hope for my condition
Medical Conditions,I have been diagnosed with terminal cancer
Medical Conditions,Doctors can't figure out what's wrong with me
Medical Conditions,I suffer from chronic pain
Mental Health,I've struggled with depression/anxiety for quite some time
Mental Health,I've dealt with PTSD for several years now
Mental Health,I have a history of bipolar disorder
Nihilism,It all feels empty and devoid of significance
Nihilism,Nothing really matters anyways
Nihilism,I'm starting to believe that everything is ultimately pointless
Omnibus Escape Theory,I need to escape this terrible situation.
Omnibus Escape Theory,I just need to get out.
Omnibus Escape Theory,I can't do this anymore.
Omnibus Escape Theory,I need this all to stop.
Omnibus Escape Theory,I can't handle this.
Omnibus Escape Theory,I'm tired of dealing with this.
Omnibus Escape Theory,I'm overwhelmed.
Perceived Burdensomness,Everyone would be better off without me
Perceived Burdensomness,The world would be a better place without me
Perceived Burdensomness,I add nothing to the world
Perceived Burdensomness,Things would be better if I was not here.
Previous Attempts,I've had a history of suicidal behavior
Previous Attempts,I've attempted to commit suicide before
Previous Attempts,I tried to kill myself
Social Expectations / Sexuality,My life is intolerable because I am gay or queer
Social Expectations / Sexuality,My family or my church hate me for who I am
Substance Abuse,I have a history of substance abuse
Substance Abuse,I've struggled with addiction for a long time
Substance Abuse,I've battled with alcoholism/drug addiction in the past
Unfairness,I've been treated unfairly
Unfairness,Everything always feels so unfair
Thwarted Belongingness,I am alone
Thwarted Belongingness,I don't fit in anywhere
Thwarted Belongingness,Everyone hates me
