Facets,Prototype Statements
Optimism,I am hopeful everything will be okay.
Optimism,I am hopeful for the best.
Optimism,I believe positive things will happen.
Optimism,I am optimistic that it will work itself out.
Sense of Social Support or Community (SoS),I have people supporting me by my side.
Sense of Social Support or Community (SoS),My friends are very supportive.
Sense of Social Support or Community (SoS),I have my family by me.
Sense of Social Support or Community (SoS),A lot of people were there for me.
Flexibility Mindset,I am able to learn and change.
Flexibility Mindset,I always try new things because I am open to exploring.
Flexibility Mindset,With changes comes ways to improve and learn.
Flexibility Mindset,I just keep moving forward with the changes.
Continued Activities of Daily Living (CADL),I started to go back to taking care of my responsibilities.
Continued Activities of Daily Living (CADL),I'm slowly getting back to my activities of daily living.
Continued Activities of Daily Living (CADL),I am catching back up with things.
Continued Activities of Daily Living (CADL),"I'm taking it day by day, focusing on self-care and small accomplishments."
Cognitive Reappraisal,This setback is a chance to redefine my goals and priorities.
Cognitive Reappraisal,I realized this was a minor setback in the grand scheme of things.
Cognitive Reappraisal,"Although I failed, I received some valuable feedback from my colleagues."
Cognitive Reappraisal,I can see this as an opportunity to learn and improve my skills.
Coping Toolkit,I enjoy taking walks to help destress.
Coping Toolkit,Talking to people help me think through my problems.
Coping Toolkit,I meditate and engage in hobbies to cope with stress.
Coping Toolkit,Journaling helps me think through things.
Uncertainty Tolerance,I'm comfortable with ambiguity and open to the unexpected twists and turns of life.
Uncertainty Tolerance,"I don't know what will happen tomorrow, but I am okay with that."
Uncertainty Tolerance,"Uncertainty is a part of the journey, there's no value in worrying about what is beyond my control."
Uncertainty Tolerance,I'm embracing the unpredictability.
Belief in Higher Power,I pray to God during my hardships.
Belief in Higher Power,I trust in the path God has chosen for me.
Belief in Higher Power,I have reverence for the difficult times of life.
Belief in Higher Power,I trust in the path the universe has for my life.
Emotional Maturity,I take time to process my emotions before reacting.
Emotional Maturity,I'm able to regulate my emotions effectively.
Emotional Maturity,I have control over my reactions.
Emotional Maturity,I don't let minor annoyances or setbacks affect my overall mood.
